geo,products_and_product_groups,vector,value_2016,value_2017,value_2018,value_2019,pct_change_2016,pct_change_2017,pct_change_2018,pct_change_2019,first_dif_2016,first_dif_2017,first_dif_2018,first_dif_2019
Alberta,"Alcoholic beverages, tobacco products and recreational cannabis",v41694732,160.5,164.5,169.9,172.1,5.5921052631579,2.49221183800623,3.28267477203647,1.2948793407887,8.5,4,5.40000000000001,2.19999999999999
Alberta,All-items,v41694625,135.2,137.3,140.6,143.1,1.12191473448019,1.55325443786984,2.40349599417333,1.77809388335703,1.5,2.10000000000002,3.29999999999998,2.5
Alberta,Clothing and footwear,v41694685,93.9,95,96.3,97.5,-1.05374077976818,1.17145899893502,1.36842105263158,1.24610591900311,-1,1.09999999999999,1.3,1.2
Alberta,Food,v41694626,141.5,141.7,143.9,149.2,1.36103151862466,0.141342756183732,1.55257586450249,3.68311327310632,1.90000000000001,0.199999999999989,2.20000000000002,5.29999999999998
Alberta,Goods,v41694744,115.2,116.9,120.3,121.6,0.6113537117904,1.47569444444444,2.90846877673224,1.08063175394845,0.700000000000003,1.7,3.39999999999999,1.3
Alberta,Health and personal care,v41694709,132.1,134.1,136.5,138.1,1.69361046959197,1.51400454201362,1.78970917225951,1.17216117216117,2.19999999999999,2,2.40000000000001,1.59999999999999
Alberta,"Household operations, furnishings and equipment",v41694670,121.3,121.6,122.3,123,2.19039595619208,0.247320692497937,0.575657894736835,0.57236304170074,2.59999999999999,0.299999999999997,0.700000000000003,0.700000000000003
Alberta,"Recreation, education and reading",v41694719,110.9,113.5,114.1,115.1,0.726612170753867,2.34445446348062,0.528634361233472,0.876424189307627,0.800000000000011,2.59999999999999,0.599999999999994,1
Alberta,Services,v41694748,157.2,159.7,163.1,166.5,1.48482892188508,1.59033078880407,2.128991859737,2.08461066830165,2.29999999999998,2.5,3.40000000000001,3.40000000000001
Alberta,Shelter,v41694658,162.5,164.6,168.3,172.3,-0.24554941682014,1.29230769230769,2.24787363304984,2.3767082590612,-0.400000000000006,2.09999999999999,3.70000000000002,4
Alberta,Transportation,v41694693,130.5,135,143.1,144.8,1.79407176287052,3.44827586206897,6,1.18798043326348,2.30000000000001,4.5,8.09999999999999,1.70000000000002
British Columbia,"Alcoholic beverages, tobacco products and recreational cannabis",v41694868,141.4,145.1,153.6,157.4,2.76162790697676,2.61669024045261,5.85802894555478,2.47395833333334,3.80000000000001,3.69999999999999,8.5,3.80000000000001
British Columbia,All-items,v41694760,122.4,125,128.4,131.4,1.83028286189683,2.12418300653594,2.72000000000001,2.33644859813084,2.2,2.59999999999999,3.40000000000001,3
British Columbia,Clothing and footwear,v41694821,104.7,104.5,105.6,107.9,0.964320154291215,-0.191021967526268,1.05263157894737,2.17803030303033,1,-0.200000000000003,1.09999999999999,2.30000000000001
British Columbia,Food,v41694761,136.9,137.7,140.1,145.6,1.78438661710038,0.584368151935706,1.74291938997821,3.92576730906495,2.40000000000001,0.799999999999983,2.40000000000001,5.5
British Columbia,Goods,v41694880,116.4,118.1,120.5,123.3,1.48212728857891,1.46048109965635,2.03217612193056,2.32365145228215,1.7,1.69999999999999,2.40000000000001,2.8
British Columbia,Health and personal care,v41694845,115.8,118.1,119.7,121.7,1.75746924428823,1.98618307426597,1.35478408128704,1.67084377610693,2,2.3,1.60000000000001,2
British Columbia,"Household operations, furnishings and equipment",v41694806,116.9,117.7,119.6,120.6,2.00698080279234,0.68434559452524,1.61427357689038,0.836120401337809,2.30000000000001,0.799999999999997,1.89999999999999,1
British Columbia,"Recreation, education and reading",v41694855,119.4,122.3,124.3,127,2.84237726098193,2.42881072026799,1.63532297628781,2.17216411906678,3.30000000000001,2.89999999999999,2,2.7
British Columbia,Services,v41694884,127.8,130.9,135.1,138.1,2.24,2.42566510172144,3.20855614973262,2.22057735011103,2.8,3.10000000000001,4.19999999999999,3
British Columbia,Shelter,v41694793,115.7,118.7,122.5,125.4,1.4022787028922,2.59291270527227,3.20134793597305,2.36734693877551,1.60000000000001,3,3.8,2.90000000000001
British Columbia,Transportation,v41694829,129.2,134.1,140.4,144,2.29612034837687,3.79256965944272,4.69798657718121,2.56410256410256,2.89999999999999,4.90000000000001,6.30000000000001,3.59999999999999
"Calgary, Alberta",All-items,v41695222,135.6,137.8,141.1,143.1,0.967982129560667,1.62241887905606,2.39477503628444,1.41743444365699,1.29999999999998,2.20000000000002,3.29999999999998,2
"Calgary, Alberta",Shelter,v41695223,163,165.1,168.5,172,-0.305810397553515,1.28834355828221,2.05935796486978,2.07715133531157,-0.5,2.09999999999999,3.40000000000001,3.5
Canada,"Alcoholic beverages, tobacco products and recreational cannabis",v41693504,156.8,161.1,167.9,171.1,3.15789473684211,2.74234693877551,4.22098075729363,1.90589636688505,4.80000000000001,4.29999999999998,6.80000000000001,3.19999999999999
Canada,All-items,v41693271,128.4,130.4,133.4,136,1.4218009478673,1.55763239875388,2.30061349693251,1.94902548725638,1.80000000000001,2,3,2.59999999999999
Canada,Clothing and footwear,v41693406,94.4,93.7,94.5,96.1,-0.211416490486243,-0.741525423728817,0.853788687299883,1.69312169312168,-0.199999999999989,-0.700000000000003,0.799999999999997,1.59999999999999
Canada,Food,v41693272,142.6,142.7,145.3,150.2,1.49466192170817,0.0701262272089593,1.8220042046251,3.37233310392291,2.09999999999999,0.0999999999999943,2.60000000000002,4.89999999999998
Canada,Goods,v41693520,117.9,118.9,121.1,122.7,0.941780821917831,0.848176420695495,1.8502943650126,1.3212221304707,1.10000000000001,1,2.19999999999999,1.60000000000001
Canada,Health and personal care,v41693451,122.2,124.3,125.9,127.4,1.41078838174273,1.71849427168576,1.28720836685439,1.19142176330421,1.7,2.09999999999999,1.60000000000001,1.5
Canada,"Household operations, furnishings and equipment",v41693365,121.7,121.9,123.2,123.6,1.67084377610693,0.164338537387025,1.0664479081214,0.324675324675326,2,0.200000000000003,1.3,0.399999999999991
Canada,"Recreation, education and reading",v41693468,111.3,114,115.3,116.8,1.73674588665446,2.42587601078168,1.14035087719297,1.30095403295752,1.89999999999999,2.7,1.3,1.5
Canada,Services,v41693528,138.9,142,145.8,149.2,1.83284457478005,2.23182145428365,2.67605633802819,2.33196159122085,2.5,3.09999999999999,3.80000000000001,3.39999999999998
Canada,Shelter,v41693348,135.8,138.1,140.9,144.5,1.57068062827226,1.69366715758468,2.02751629254165,2.55500354861604,2.10000000000002,2.29999999999998,2.80000000000001,3.59999999999999
Canada,Transportation,v41693426,127.9,132.9,139.1,141.5,1.10671936758892,3.90930414386239,4.66516177577125,1.72537742631201,1.40000000000001,5,6.19999999999999,2.40000000000001
"Charlottetown and Summerside, Prince Edward Island",All-items,v41695150,130.3,132.5,135.7,137.2,1.16459627329193,1.68841135840367,2.41509433962264,1.10537951363301,1.5,2.19999999999999,3.19999999999999,1.5
"Charlottetown and Summerside, Prince Edward Island",Shelter,v41695151,128.6,130.7,135,135.7,-0.232738557020952,1.63297045101088,3.28997704667178,0.518518518518519,-0.300000000000011,2.09999999999999,4.30000000000001,0.699999999999989
"Edmonton, Alberta",All-items,v41695216,134.9,137.1,140.8,143.2,1.12443778110945,1.63083765752407,2.6987600291758,1.70454545454544,1.5,2.19999999999999,3.70000000000002,2.39999999999998
"Edmonton, Alberta",Shelter,v41695217,161.9,164.4,168.8,173.7,0.247678018575854,1.54416306361951,2.676399026764,2.90284360189573,0.400000000000006,2.5,4.40000000000001,4.89999999999998
"Halifax, Nova Scotia",All-items,v41695156,129.8,131.2,134,136,1.24804992199689,1.07858243451462,2.13414634146343,1.49253731343283,1.60000000000002,1.39999999999998,2.80000000000001,2
"Halifax, Nova Scotia",Shelter,v41695157,135,136.8,140.5,143.2,0.297176820208023,1.33333333333334,2.70467836257309,1.92170818505338,0.400000000000006,1.80000000000001,3.69999999999999,2.69999999999999
"Iqaluit, Nunavut",All-items,v41713462,123.4,125.4,129.2,131.4,2.49169435215948,1.62074554294975,3.03030303030303,1.702786377709,3,2,3.79999999999998,2.20000000000002
Manitoba,"Alcoholic beverages, tobacco products and recreational cannabis",v41694461,175.8,179.8,185.8,188.2,2.26876090750436,2.27531285551763,3.33704115684093,1.29171151776102,3.90000000000001,4,6,2.39999999999998
Manitoba,All-items,v41694353,128.4,130.5,133.8,136.8,1.26182965299687,1.63551401869158,2.52873563218392,2.24215246636771,1.60000000000001,2.09999999999999,3.30000000000001,3
Manitoba,Clothing and footwear,v41694414,93.5,92,93.5,95.4,-2.90758047767393,-1.6042780748663,1.63043478260869,2.03208556149734,-2.8,-1.5,1.5,1.90000000000001
Manitoba,Food,v41694354,141.7,141.6,143.8,148,0.283085633404085,-0.070571630204654,1.55367231638419,2.92072322670374,0.399999999999977,-0.0999999999999943,2.20000000000002,4.19999999999999
Manitoba,Goods,v41694473,116.9,117.7,120.7,122.8,0.343347639484975,0.68434559452524,2.54885301614274,1.73985086992543,0.400000000000006,0.799999999999997,3,2.09999999999999
Manitoba,Health and personal care,v41694438,115.3,116.9,119,120.6,1.05170902716915,1.38768430182135,1.79640718562875,1.34453781512605,1.2,1.60000000000001,2.09999999999999,1.59999999999999
Manitoba,"Household operations, furnishings and equipment",v41694399,120.6,121.1,121.3,123.8,1.60067396798651,0.414593698175779,0.165152766308836,2.06100577081617,1.89999999999999,0.5,0.200000000000003,2.5
Manitoba,"Recreation, education and reading",v41694448,110.1,112,113.7,115.8,1.19485294117648,1.72570390554043,1.51785714285715,1.84696569920844,1.3,1.90000000000001,1.7,2.09999999999999
Manitoba,Services,v41694477,141.2,144.9,148.6,152.4,2.17076700434153,2.62039660056659,2.55348516218081,2.55720053835802,3,3.70000000000002,3.69999999999999,3.80000000000001
Manitoba,Shelter,v41694386,140.6,144.4,148.8,153.5,2.03193033381712,2.70270270270272,3.04709141274238,3.15860215053763,2.79999999999998,3.80000000000001,4.40000000000001,4.69999999999999
Manitoba,Transportation,v41694422,126.1,130,136.5,138.7,2.10526315789473,3.09278350515466,5,1.61172161172161,2.59999999999999,3.90000000000001,6.5,2.19999999999999
"Montréal, Quebec",All-items,v41695174,125.9,127.3,129.5,132.4,0.800640512409927,1.11199364575059,1.72820109976435,2.23938223938225,1,1.39999999999999,2.2,2.90000000000001
"Montréal, Quebec",Shelter,v41695175,128.7,129.9,132.1,135.8,0.941176470588218,0.932400932400952,1.69361046959197,2.80090840272523,1.19999999999999,1.20000000000002,2.19999999999999,3.70000000000002
New Brunswick,"Alcoholic beverages, tobacco products and recreational cannabis",v41694053,180.6,196.8,204,207,7.82089552238804,8.97009966777409,3.65853658536585,1.47058823529412,13.1,16.2,7.19999999999999,3
New Brunswick,All-items,v41693946,128.2,131.2,134,136.3,2.2328548644338,2.34009360374414,2.13414634146343,1.71641791044776,2.79999999999998,3,2.80000000000001,2.30000000000001
New Brunswick,Clothing and footwear,v41694006,97.9,100.4,100.9,101.4,0.616649537512856,2.55362614913177,0.498007968127496,0.495540138751238,0.600000000000009,2.5,0.5,0.5
New Brunswick,Food,v41693947,150.6,148.6,150.6,155.6,1.82555780933062,-1.32802124833998,1.34589502018842,3.32005312084993,2.69999999999999,-2,2,5
New Brunswick,Goods,v41694065,123.8,126.5,129.1,131.4,1.89300411522633,2.18093699515347,2.05533596837944,1.78156467854377,2.3,2.7,2.59999999999999,2.30000000000001
New Brunswick,Health and personal care,v41694030,113.5,115.9,117.7,118.6,2.068345323741,2.11453744493393,1.55306298533218,0.764655904842797,2.3,2.40000000000001,1.8,0.899999999999992
New Brunswick,"Household operations, furnishings and equipment",v41693991,123.8,125.3,126.6,125.1,2.99500831946756,1.21163166397416,1.03750997605745,-1.18483412322274,3.59999999999999,1.5,1.3,-1.5
New Brunswick,"Recreation, education and reading",v41694040,113.2,117.5,119.6,123.2,2.44343891402717,3.79858657243817,1.78723404255319,3.01003344481605,2.7,4.3,2.09999999999999,3.60000000000001
New Brunswick,Services,v41694069,133.9,137.3,140.4,142.5,2.52679938744258,2.5392083644511,2.25782957028405,1.49572649572649,3.30000000000001,3.40000000000001,3.09999999999999,2.09999999999999
New Brunswick,Shelter,v41693979,131.7,134.6,137.5,140.2,1.69884169884169,2.20197418375095,2.15453194650819,1.96363636363634,2.19999999999999,2.90000000000001,2.90000000000001,2.69999999999999
New Brunswick,Transportation,v41694014,122.2,127.8,132.9,135.6,2.17391304347827,4.58265139116203,3.9906103286385,2.0316027088036,2.60000000000001,5.59999999999999,5.10000000000001,2.69999999999999
Newfoundland and Labrador,"Alcoholic beverages, tobacco products and recreational cannabis",v41693649,166.2,172,178.1,182.7,4.72589792060492,3.48977135980746,3.54651162790698,2.5828186412128,7.5,5.80000000000001,6.09999999999999,4.59999999999999
Newfoundland and Labrador,All-items,v41693542,132.5,135.7,137.9,139.3,2.71317829457365,2.41509433962264,1.62122328666176,1.01522842639594,3.5,3.19999999999999,2.20000000000002,1.40000000000001
Newfoundland and Labrador,Clothing and footwear,v41693602,95.2,96.4,97.4,98,-1.34715025906735,1.26050420168068,1.03734439834025,0.616016427104711,-1.3,1.2,1,0.599999999999994
Newfoundland and Labrador,Food,v41693543,146.4,145,145.5,148.2,2.44926522043387,-0.95628415300547,0.34482758620689,1.85567010309278,3.5,-1.40000000000001,0.5,2.69999999999999
Newfoundland and Labrador,Goods,v41693661,124.5,127,129.1,130.3,2.13289581624281,2.00803212851406,1.65354330708661,0.929512006196759,2.59999999999999,2.5,2.09999999999999,1.20000000000002
Newfoundland and Labrador,Health and personal care,v41693626,117,119.6,120.2,121.6,2.18340611353712,2.22222222222221,0.501672240802691,1.16472545757071,2.5,2.59999999999999,0.600000000000009,1.39999999999999
Newfoundland and Labrador,"Household operations, furnishings and equipment",v41693587,122.7,124.3,124.3,122.5,4.78223740392826,1.3039934800326,0,-1.44810941271119,5.60000000000001,1.59999999999999,0,-1.8
Newfoundland and Labrador,"Recreation, education and reading",v41693636,108,111.5,110.7,110.5,2.27272727272727,3.24074074074075,-0.717488789237663,-0.180668473351403,2.40000000000001,3.5,-0.799999999999997,-0.200000000000003
Newfoundland and Labrador,Services,v41693665,144.7,149,151.6,152.9,3.50500715307579,2.97166551485834,1.74496644295301,0.857519788918211,4.89999999999998,4.30000000000001,2.59999999999999,1.30000000000001
Newfoundland and Labrador,Shelter,v41693575,152.2,155.7,161,163.4,1.39906728847434,2.29960578186596,3.40398201669878,1.49068322981367,2.09999999999999,3.5,5.30000000000001,2.40000000000001
Newfoundland and Labrador,Transportation,v41693610,129.5,136.7,141.3,144,4.35132957292505,5.55984555984554,3.36503291880031,1.91082802547771,5.40000000000001,7.19999999999999,4.60000000000002,2.69999999999999
Nova Scotia,"Alcoholic beverages, tobacco products and recreational cannabis",v41693918,187.3,193.6,198.2,201.6,3.36644591611481,3.36358782701547,2.37603305785123,1.715438950555,6.10000000000002,6.29999999999998,4.59999999999999,3.40000000000001
Nova Scotia,All-items,v41693811,130.9,132.4,135.3,137.5,1.23743232791955,1.14591291061879,2.19033232628398,1.62601626016259,1.59999999999999,1.5,2.90000000000001,2.19999999999999
Nova Scotia,Clothing and footwear,v41693871,96.3,96.7,99.6,100.2,-3.7,0.415368639667719,2.9989658738366,0.602409638554221,-3.7,0.400000000000006,2.89999999999999,0.600000000000009
Nova Scotia,Food,v41693812,151.4,148.4,148.9,153,2.43572395128551,-1.98150594451784,0.33692722371967,2.75352585627937,3.59999999999999,-3,0.5,4.09999999999999
Nova Scotia,Goods,v41693930,126.7,127.7,130.5,132.2,0.396196513470699,0.789265982636152,2.19263899765075,1.30268199233716,0.5,1,2.8,1.69999999999999
Nova Scotia,Health and personal care,v41693895,119.7,121.7,122.5,122.8,1.78571428571431,1.67084377610693,0.657354149548056,0.244897959183675,2.10000000000001,2,0.799999999999997,0.299999999999997
Nova Scotia,"Household operations, furnishings and equipment",v41693856,122.7,122.3,122.2,122.1,1.82572614107883,-0.325998370008151,-0.0817661488143813,-0.0818330605564626,2.2,-0.400000000000006,-0.0999999999999943,-0.100000000000009
Nova Scotia,"Recreation, education and reading",v41693905,114.6,117.7,120.2,121.9,3.24324324324323,2.70506108202444,2.12404418011896,1.41430948419301,3.59999999999999,3.10000000000001,2.5,1.7
Nova Scotia,Services,v41693934,135.8,137.9,140.9,143.6,2.02854996243427,1.54639175257731,2.17548948513415,1.91625266146202,2.70000000000002,2.09999999999999,3,2.69999999999999
Nova Scotia,Shelter,v41693844,139.4,141.7,146.1,149.2,-0.214745884037214,1.64992826398851,3.10515172900494,2.12183436002738,-0.299999999999983,2.29999999999998,4.40000000000001,3.09999999999999
Nova Scotia,Transportation,v41693879,122.6,126.4,131.9,134.5,1.40612076095945,3.09951060358891,4.3512658227848,1.97119029567854,1.69999999999999,3.80000000000001,5.5,2.59999999999999
Ontario,"Alcoholic beverages, tobacco products and recreational cannabis",v41694325,160.1,165.2,174.5,177.9,3.4906270200388,3.18550905683948,5.62953995157385,1.94842406876792,5.40000000000001,5.09999999999999,9.30000000000001,3.40000000000001
Ontario,All-items,v41694217,129.7,131.9,135,137.5,1.80533751962322,1.69622205088666,2.35026535253979,1.85185185185186,2.29999999999998,2.20000000000002,3.09999999999999,2.5
Ontario,Clothing and footwear,v41694278,92,89.9,90.4,91.9,-0.216919739696323,-2.28260869565217,0.556173526140142,1.65929203539822,-0.200000000000003,-2.09999999999999,0.5,1.5
Ontario,Food,v41694218,143.5,143.3,147.4,152.6,1.62889518413598,-0.139372822299649,2.86113049546405,3.52781546811396,2.30000000000001,-0.199999999999989,4.09999999999999,5.19999999999999
Ontario,Goods,v41694337,117.6,117.8,119.5,120.9,1.20481927710843,0.170068027210888,1.44312393887947,1.17154811715481,1.39999999999999,0.200000000000003,1.7,1.40000000000001
Ontario,Health and personal care,v41694302,123.4,125.8,128,128.8,1.23051681706316,1.94489465153971,1.74880763116056,0.625000000000014,1.5,2.39999999999999,2.2,0.800000000000011
Ontario,"Household operations, furnishings and equipment",v41694263,123.3,124,125.8,125.3,1.48148148148148,0.567721005677214,1.45161290322579,-0.397456279809219,1.8,0.700000000000003,1.8,-0.5
Ontario,"Recreation, education and reading",v41694312,114.1,117.5,119.3,119.9,2.14861235452103,2.97984224364593,1.53191489361701,0.50293378038559,2.39999999999999,3.40000000000001,1.8,0.600000000000009
Ontario,Services,v41694341,140.6,144.6,148.9,152.4,2.25454545454544,2.84495021337125,2.97372060857539,2.35057085292144,3.09999999999999,4,4.30000000000001,3.5
Ontario,Shelter,v41694250,138.1,140.4,142.7,147,2.67657992565056,1.66545981173063,1.63817663817663,3.01331464611071,3.59999999999999,2.30000000000001,2.29999999999998,4.30000000000001
Ontario,Transportation,v41694286,128.4,134,139.8,142.1,1.02281667977971,4.36137071651091,4.32835820895522,1.64520743919884,1.30000000000001,5.59999999999999,5.80000000000001,2.29999999999998
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",All-items,v41695180,128.1,129.9,133.2,135.9,1.26482213438734,1.40515222482436,2.54041570438798,2.02702702702705,1.59999999999999,1.80000000000001,3.29999999999998,2.70000000000002
"Ottawa-Gatineau, Ontario part, Ontario/Quebec",Shelter,v41695181,135,135.7,138.4,143.6,0.896860986547068,0.518518518518519,1.98968312453944,3.75722543352602,1.19999999999999,0.699999999999989,2.70000000000002,5.19999999999999
