ref_date,geo,products_and_product_groups,value
2017-01-01,Canada,All-items,130.4
2017-01-01,Canada,Food,142.7
2017-01-01,Canada,Food purchased from stores,141.2
2017-01-01,Canada,Meat,156.6
2017-01-01,Canada,Fresh or frozen meat (excluding poultry),165.6
2017-01-01,Canada,Fresh or frozen beef,176.8
2017-01-01,Canada,Fresh or frozen pork,140.2
2017-01-01,Canada,Other fresh or frozen meat (excluding poultry),155.3
2017-01-01,Canada,Fresh or frozen poultry,153
2017-01-01,Canada,Fresh or frozen chicken,158.3
2017-01-01,Canada,Other fresh or frozen poultry,124.4
2017-01-01,Canada,Processed meat,146.7
2017-01-01,Canada,Ham and bacon,141.3
2017-01-01,Canada,Other processed meat,152.6
2017-01-01,Canada,"Fish, seafood and other marine products",135.1
2017-01-01,Canada,Fish,145.7
2017-01-01,Canada,Fresh or frozen fish (including portions and fish sticks),145.2
2017-01-01,Canada,Canned and other preserved fish,142.6
2017-01-01,Canada,Seafood and other marine products,110.6
2017-01-01,Canada,Dairy products and eggs,133.8
2017-01-01,Canada,Dairy products,132.5
2017-01-01,Canada,Fresh milk,139.2
2017-01-01,Canada,Butter,137.8
2017-01-01,Canada,Cheese,127.7
2017-01-01,Canada,Ice cream and related products,125.1
2017-01-01,Canada,Other dairy products,132.7
2017-01-01,Canada,Eggs,148.4
2017-01-01,Canada,Bakery and cereal products (excluding baby food),151.6
2017-01-01,Canada,Bakery products,162.1
2017-01-01,Canada,"Bread, rolls and buns",179.1
2017-01-01,Canada,Cookies and crackers,142.4
2017-01-01,Canada,Other bakery products,148.7
2017-01-01,Canada,Cereal products (excluding baby food),133.4
2017-01-01,Canada,Rice and rice-based mixes,142
2017-01-01,Canada,Breakfast cereal and other cereal products (excluding baby food),121.4
2017-01-01,Canada,Pasta products,150.6
2017-01-01,Canada,Flour and flour-based mixes,146.1
2017-01-01,Canada,"Fruit, fruit preparations and nuts",133.3
2017-01-01,Canada,Fresh fruit,129.6
2017-01-01,Canada,Apples,143.2
2017-01-01,Canada,Oranges,140.8
2017-01-01,Canada,Bananas,133
2017-01-01,Canada,Other fresh fruit,121.4
2017-01-01,Canada,Preserved fruit and fruit preparations,131.7
2017-01-01,Canada,Fruit juices,134.8
2017-01-01,Canada,Other preserved fruit and fruit preparations,124.5
2017-01-01,Canada,Nuts and seeds,154.1
2017-01-01,Canada,Vegetables and vegetable preparations,132.9
2017-01-01,Canada,Fresh vegetables,131.4
2017-01-01,Canada,Potatoes,113.6
2017-01-01,Canada,Tomatoes,106.1
2017-01-01,Canada,Lettuce,123.8
2017-01-01,Canada,Other fresh vegetables,146.6
2017-01-01,Canada,Preserved vegetables and vegetable preparations,139
2017-01-01,Canada,Frozen and dried vegetables,140.7
2017-01-01,Canada,Canned vegetables and other vegetable preparations,139.3
2017-01-01,Canada,Other food products and non-alcoholic beverages,134
2017-01-01,Canada,Sugar and confectionery,142.5
2017-01-01,Canada,Sugar and syrup,120.9
2017-01-01,Canada,Confectionery,147.6
2017-01-01,Canada,Edible fats and oils,146.9
2017-01-01,Canada,Margarine,150
2017-01-01,Canada,Other edible fats and oils,140.3
2017-01-01,Canada,Coffee and tea,133.6
2017-01-01,Canada,Coffee,136.3
2017-01-01,Canada,Tea,125.9
