north_american_product_classification_system_napcs,principal_trading_partners,geo,year_month,import,export
Aircraft and other transportation equipment and parts [C21],Algeria,Alberta,2017,0,0
Aircraft and other transportation equipment and parts [C21],Algeria,Alberta,2018,0,0
Aircraft and other transportation equipment and parts [C21],Algeria,Alberta,2019,0,0
Aircraft and other transportation equipment and parts [C21],Algeria,Alberta,2020,0,0
Aircraft and other transportation equipment and parts [C21],Algeria,British Columbia,2017,0,0
Aircraft and other transportation equipment and parts [C21],Algeria,British Columbia,2018,0,10073
Aircraft and other transportation equipment and parts [C21],Algeria,British Columbia,2019,0,0
Aircraft and other transportation equipment and parts [C21],Algeria,British Columbia,2020,0,0
Aircraft and other transportation equipment and parts [C21],Algeria,Canada,2017,551,11348
Aircraft and other transportation equipment and parts [C21],Algeria,Canada,2018,0,28764
Aircraft and other transportation equipment and parts [C21],Algeria,Canada,2019,6,8551
Aircraft and other transportation equipment and parts [C21],Algeria,Canada,2020,0,3060
Aircraft and other transportation equipment and parts [C21],Algeria,Manitoba,2017,0,0
Aircraft and other transportation equipment and parts [C21],Algeria,Manitoba,2018,0,0
Aircraft and other transportation equipment and parts [C21],Algeria,Manitoba,2019,6,0
Aircraft and other transportation equipment and parts [C21],Algeria,Manitoba,2020,0,0
Aircraft and other transportation equipment and parts [C21],Algeria,New Brunswick,2017,0,0
Aircraft and other transportation equipment and parts [C21],Algeria,New Brunswick,2018,0,0
Aircraft and other transportation equipment and parts [C21],Algeria,New Brunswick,2019,0,0
Aircraft and other transportation equipment and parts [C21],Algeria,New Brunswick,2020,0,0
Aircraft and other transportation equipment and parts [C21],Algeria,Newfoundland and Labrador,2017,0,0
Aircraft and other transportation equipment and parts [C21],Algeria,Newfoundland and Labrador,2018,0,0
Aircraft and other transportation equipment and parts [C21],Algeria,Newfoundland and Labrador,2019,0,4
Aircraft and other transportation equipment and parts [C21],Algeria,Newfoundland and Labrador,2020,0,4
Aircraft and other transportation equipment and parts [C21],Algeria,Northwest Territories,2017,0,0
Aircraft and other transportation equipment and parts [C21],Algeria,Northwest Territories,2018,0,0
Aircraft and other transportation equipment and parts [C21],Algeria,Northwest Territories,2019,0,0
Aircraft and other transportation equipment and parts [C21],Algeria,Northwest Territories,2020,0,0
Aircraft and other transportation equipment and parts [C21],Algeria,Nova Scotia,2017,0,0
Aircraft and other transportation equipment and parts [C21],Algeria,Nova Scotia,2018,0,0
Aircraft and other transportation equipment and parts [C21],Algeria,Nova Scotia,2019,0,0
Aircraft and other transportation equipment and parts [C21],Algeria,Nova Scotia,2020,0,0
Aircraft and other transportation equipment and parts [C21],Algeria,Nunavut,2017,0,0
Aircraft and other transportation equipment and parts [C21],Algeria,Nunavut,2018,0,0
Aircraft and other transportation equipment and parts [C21],Algeria,Nunavut,2019,0,0
Aircraft and other transportation equipment and parts [C21],Algeria,Nunavut,2020,0,0
Aircraft and other transportation equipment and parts [C21],Algeria,Ontario,2017,0,1495
Aircraft and other transportation equipment and parts [C21],Algeria,Ontario,2018,0,1290
Aircraft and other transportation equipment and parts [C21],Algeria,Ontario,2019,0,772
Aircraft and other transportation equipment and parts [C21],Algeria,Ontario,2020,0,86
Aircraft and other transportation equipment and parts [C21],Algeria,Prince Edward Island,2017,0,0
Aircraft and other transportation equipment and parts [C21],Algeria,Prince Edward Island,2018,0,0
Aircraft and other transportation equipment and parts [C21],Algeria,Prince Edward Island,2019,0,2477
Aircraft and other transportation equipment and parts [C21],Algeria,Prince Edward Island,2020,0,0
Aircraft and other transportation equipment and parts [C21],Algeria,Quebec,2017,550,9853
Aircraft and other transportation equipment and parts [C21],Algeria,Quebec,2018,0,17402
Aircraft and other transportation equipment and parts [C21],Algeria,Quebec,2019,0,5297
Aircraft and other transportation equipment and parts [C21],Algeria,Quebec,2020,0,2971
Aircraft and other transportation equipment and parts [C21],Algeria,Saskatchewan,2017,0,0
Aircraft and other transportation equipment and parts [C21],Algeria,Saskatchewan,2018,0,0
Aircraft and other transportation equipment and parts [C21],Algeria,Saskatchewan,2019,0,0
Aircraft and other transportation equipment and parts [C21],Algeria,Saskatchewan,2020,0,0
Aircraft and other transportation equipment and parts [C21],Algeria,Yukon,2017,0,0
Aircraft and other transportation equipment and parts [C21],Algeria,Yukon,2018,0,0
Aircraft and other transportation equipment and parts [C21],Algeria,Yukon,2019,0,0
Aircraft and other transportation equipment and parts [C21],Algeria,Yukon,2020,0,0
Aircraft and other transportation equipment and parts [C21],All countries,Alberta,2017,1744485,500530
Aircraft and other transportation equipment and parts [C21],All countries,Alberta,2018,1760935,606864
Aircraft and other transportation equipment and parts [C21],All countries,Alberta,2019,1421098,670335
Aircraft and other transportation equipment and parts [C21],All countries,Alberta,2020,542793,730028
